subject,grade,questionText,optionA,optionB,optionC,optionD,correctAnswer,difficultyLevel,competencyCodes
Maths,Grade 6,What is the area of a triangle with base 10 cm and height 8 cm?,18 cm²,40 cm²,80 cm²,160 cm²,B,155,"COMP2,COMP3"
Maths,Grade 6,Solve for y: 2y - 5 = 11,3,6,8,13,C,303,"COMP1,COMP2"
Maths,Grade 6,What is the prime factorization of 48?,2 × 2 × 2 × 2 × 3,2 × 2 × 3 × 4,2 × 3 × 8,3 × 4 × 4,A,238,"COMP1,COMP3"
Maths,Grade 6,"If a cube has edge length 4 cm, what is its volume?",16 cm³,32 cm³,64 cm³,128 cm³,C,121,"COMP2,COMP3"
Maths,Grade 6,What is 7/12 as a decimal rounded to 2 decimal places?,0.58,0.59,0.6,0.61,A,317,"COMP1,COMP4"
Maths,Grade 6,"If 3 workers can complete a job in 8 days, how many days will 6 workers take?",2,3,4,6,C,120,"COMP2,COMP4"
Maths,Grade 6,What is the value of 5² + 3³?,16,34,52,125,B,260,"COMP1,COMP2"
Maths,Grade 6,"If a rectangle has perimeter 24 cm and length 8 cm, what is its width?",2 cm,4 cm,6 cm,8 cm,B,287,"COMP2,COMP3"
Maths,Grade 6,What is the reciprocal of 3/4?,4-Mar,3-Apr,3-Jan,4-Jan,B,216,"COMP1,COMP4"
Maths,Grade 6,"If a train travels 180 km in 3 hours, what is its average speed?",45 km/h,50 km/h,60 km/h,90 km/h,C,163,"COMP2,COMP4"
Maths,Grade 6,What is the value of 4! (4 factorial)?,8,12,16,24,D,225,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has sides 5 cm, 12 cm, and 13 cm, what type of triangle is it?",Acute,Right,Obtuse,Equilateral,B,349,"COMP2,COMP3"
Maths,Grade 6,What is 0.125 as a fraction?,8-Jan,6-Jan,4-Jan,2-Jan,A,269,"COMP1,COMP4"
Maths,Grade 6,"If a shirt costs $25 and is discounted by 20%, what is the final price?",$15 ,$18 ,$20 ,$23 ,C,296,"COMP2,COMP4"
Maths,Grade 6,What is the value of 2⁴ × 3?,24,32,48,96,C,333,"COMP1,COMP2"
Maths,Grade 6,"If a number is increased by 25% and becomes 75, what was the original number?",50,55,60,65,C,339,"COMP1,COMP4"
Maths,Grade 6,What is the perimeter of a rectangle with length 12 cm and width 8 cm?,20 cm,40 cm,80 cm,96 cm,B,178,"COMP2,COMP3"
Maths,Grade 6,Solve for x: 5x - 8 = 17,3,5,7,9,B,164,"COMP1,COMP2"
Maths,Grade 6,What is the least common multiple of 9 and 12?,18,27,36,108,C,167,"COMP1,COMP3"
Maths,Grade 6,"If a cylinder has radius 3 cm and height 10 cm, what is its volume? (Use π = 3.14)",28.26 cm³,94.2 cm³,282.6 cm³,942 cm³,C,214,"COMP2,COMP3"
Maths,Grade 6,What is 2/3 as a decimal rounded to 2 decimal places?,0.66,0.67,0.68,0.69,A,300,"COMP1,COMP4"
Maths,Grade 6,"If 6 painters can paint a house in 4 days, how many days will 8 painters take?",2,3,4,6,B,238,"COMP2,COMP4"
Maths,Grade 6,What is the value of 4² × 2³?,32,64,128,256,B,340,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has base 15 cm and height 12 cm, what is its area?",45 cm²,90 cm²,180 cm²,360 cm²,B,304,"COMP2,COMP3"
Maths,Grade 6,What is the reciprocal of 1/3?,3-Jan,3-Feb,3,1,B,126,"COMP1,COMP4"
Maths,Grade 6,"If a train travels 240 km in 4 hours, what is its speed in km/h?",40 km/h,50 km/h,60 km/h,80 km/h,C,246,"COMP2,COMP4"
Maths,Grade 6,What is the value of 5! ÷ 3!?,10,20,40,120,B,287,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has sides 6 cm, 8 cm, and 10 cm, what type of triangle is it?",Acute,Right,Obtuse,Equilateral,B,256,"COMP2,COMP3"
Maths,Grade 6,What is 0.4 as a fraction in simplest form?,5-Feb,10-Apr,4-Jan,2-Jan,A,187,"COMP1,COMP4"
Maths,Grade 6,"If a laptop costs $800 and is discounted by 15%, what is the final price?",$680 ,$720 ,$760 ,$800 ,A,268,"COMP2,COMP4"
Maths,Grade 6,What is the value of 3⁴ ÷ 3²?,3,9,27,81,B,331,"COMP1,COMP2"
Maths,Grade 6,"If a number is decreased by 20% and becomes 80, what was the original number?",90,95,100,105,C,325,"COMP1,COMP4"
Maths,Grade 6,What is the area of a square with side length 11 cm?,22 cm²,44 cm²,121 cm²,484 cm²,C,139,"COMP2,COMP3"
Maths,Grade 6,Solve for y: 6y + 4 = 28,2,3,4,5,C,279,"COMP1,COMP2"
Maths,Grade 6,What is the greatest common factor of 32 and 48?,8,12,16,24,C,246,"COMP1,COMP3"
Maths,Grade 6,"If a cube has edge length 5 cm, what is its surface area?",25 cm²,75 cm²,125 cm²,150 cm²,D,244,"COMP2,COMP3"
Maths,Grade 6,What is 3/5 as a decimal?,0.4,0.5,0.6,0.7,C,146,"COMP1,COMP4"
Maths,Grade 6,"If 4 workers can build a wall in 6 days, how many days will 3 workers take?",4,6,8,12,C,240,"COMP2,COMP4"
Maths,Grade 6,What is the value of 2⁶ × 3?,96,192,384,768,B,313,"COMP1,COMP2"
Maths,Grade 6,"If a rectangle has area 60 cm² and width 5 cm, what is its length?",10 cm,12 cm,15 cm,20 cm,B,109,"COMP2,COMP3"
Maths,Grade 6,What is the reciprocal of 4/7?,7-Apr,4-Jul,4-Jan,7-Jan,B,100,"COMP1,COMP4"
Maths,Grade 6,"If a car travels 90 km in 1.5 hours, what is its speed?",45 km/h,50 km/h,60 km/h,90 km/h,C,337,"COMP2,COMP4"
Maths,Grade 6,What is the value of 7! ÷ 5!?,21,42,84,252,B,134,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has angles measuring 40°, 50°, and 90°, what type of triangle is it?",Acute,Right,Obtuse,Equilateral,B,209,"COMP2,COMP3"
Maths,Grade 6,What is 0.8 as a fraction in simplest form?,5-Apr,10-Aug,3-Feb,2-Jan,A,330,"COMP1,COMP4"
Maths,Grade 6,"If a phone costs $500 and the tax rate is 10%, what is the total cost?",$500 ,$550 ,$600 ,$650 ,B,184,"COMP2,COMP4"
Maths,Grade 6,What is the value of 4³ ÷ 4?,4,8,16,64,C,271,"COMP1,COMP2"
Maths,Grade 6,"If a number is increased by 30% and becomes 130, what was the original number?",90,100,110,120,B,206,"COMP1,COMP4"
Maths,Grade 6,"What is the perimeter of a triangle with sides 7 cm, 9 cm, and 12 cm?",21 cm,28 cm,35 cm,42 cm,B,133,"COMP2,COMP3"
Maths,Grade 6,Solve for x: 7x - 3 = 25,2,3,4,5,C,307,"COMP1,COMP2"
Maths,Grade 6,What is the least common multiple of 8 and 10?,20,30,40,80,C,319,"COMP1,COMP3"
Maths,Grade 6,"If a sphere has radius 4 cm, what is its volume? (Use π = 3.14)",67.02 cm³,200.96 cm³,268.08 cm³,804.24 cm³,C,123,"COMP2,COMP3"
Maths,Grade 6,What is 4/7 as a decimal rounded to 2 decimal places?,0.57,0.58,0.59,0.6,A,126,"COMP1,COMP4"
Maths,Grade 6,"If 5 machines can produce 200 items in 3 hours, how many items can 3 machines produce in 2 hours?",60,80,120,200,B,157,"COMP2,COMP4"
Maths,Grade 6,What is the value of 5³ × 2²?,100,200,500,1000,C,247,"COMP1,COMP2"
Maths,Grade 6,"If a parallelogram has base 10 cm and height 8 cm, what is its area?",18 cm²,40 cm²,80 cm²,160 cm²,C,138,"COMP2,COMP3"
Maths,Grade 6,What is the reciprocal of 5/6?,6-May,5-Jun,5-Jan,6-Jan,B,243,"COMP1,COMP4"
Maths,Grade 6,"If a bus travels 180 km in 3 hours, what is its average speed?",45 km/h,50 km/h,60 km/h,90 km/h,C,191,"COMP2,COMP4"
Maths,Grade 6,What is the value of 8! ÷ 6!?,28,56,112,336,B,347,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has sides 9 cm, 12 cm, and 15 cm, what type of triangle is it?",Acute,Right,Obtuse,Equilateral,B,323,"COMP2,COMP3"
Maths,Grade 6,What is 0.6 as a fraction in simplest form?,5-Mar,10-Jun,3-Feb,2-Jan,A,283,"COMP1,COMP4"
Maths,Grade 6,"If a computer costs $1200 and is discounted by 25%, what is the final price?",$800 ,$900 ,"$1,000 ","$1,100 ",B,250,"COMP2,COMP4"
Maths,Grade 6,What is the value of 6² × 2³?,72,144,288,576,B,346,"COMP1,COMP2"
Maths,Grade 6,"If a number is decreased by 25% and becomes 75, what was the original number?",90,95,100,105,C,183,"COMP1,COMP4"
Maths,Grade 6,What is the area of a circle with diameter 10 cm? (Use π = 3.14),31.4 cm²,62.8 cm²,78.5 cm²,157 cm²,C,241,"COMP2,COMP3"
Maths,Grade 6,Solve for z: 8z + 5 = 37,3,4,5,6,B,191,"COMP1,COMP2"
Maths,Grade 6,What is the greatest common factor of 42 and 56?,7,14,21,28,B,200,"COMP1,COMP3"
Maths,Grade 6,"If a rectangular prism has dimensions 6 cm × 8 cm × 10 cm, what is its volume?",48 cm³,240 cm³,480 cm³,960 cm³,C,286,"COMP2,COMP3"
Maths,Grade 6,What is 5/8 as a decimal?,0.625,0.65,0.7,0.75,A,234,"COMP1,COMP4"
Maths,Grade 6,"If 6 workers can complete a project in 5 days, how many days will 10 workers take?",2,3,4,5,B,170,"COMP2,COMP4"
Maths,Grade 6,What is the value of 3⁵ ÷ 3³?,3,9,27,81,B,307,"COMP1,COMP2"
Maths,Grade 6,"If a trapezoid has bases 6 cm and 10 cm, and height 8 cm, what is its area?",32 cm²,64 cm²,128 cm²,256 cm²,B,270,"COMP2,COMP3"
Maths,Grade 6,What is the reciprocal of 3/8?,8-Mar,3-Aug,3-Jan,8-Jan,B,282,"COMP1,COMP4"
Maths,Grade 6,"If a plane travels 600 km in 2 hours, what is its speed?",200 km/h,250 km/h,300 km/h,400 km/h,C,274,"COMP2,COMP4"
Maths,Grade 6,What is the value of 9! ÷ 7!?,36,72,144,432,B,198,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has angles measuring 35°, 55°, and 90°, what type of triangle is it?",Acute,Right,Obtuse,Equilateral,B,321,"COMP2,COMP3"
Maths,Grade 6,What is 0.9 as a fraction in simplest form?,10-Sep,4-Mar,3-Feb,2-Jan,A,200,"COMP1,COMP4"
Maths,Grade 6,"If a camera costs $400 and the tax rate is 12%, what is the total cost?",$440 ,$448 ,$460 ,$480 ,B,183,"COMP2,COMP4"
Maths,Grade 6,What is the value of 7² × 2⁴?,196,392,784,1568,B,240,"COMP1,COMP2"
Maths,Grade 6,"If a number is increased by 40% and becomes 140, what was the original number?",90,100,110,120,B,284,"COMP1,COMP4"
Maths,Grade 6,What is the perimeter of a regular hexagon with side length 5 cm?,25 cm,30 cm,35 cm,40 cm,B,120,"COMP2,COMP3"
Maths,Grade 6,Solve for x: 9x - 7 = 38,3,4,5,6,C,189,"COMP1,COMP2"
Maths,Grade 6,What is the least common multiple of 12 and 15?,30,45,60,180,C,201,"COMP1,COMP3"
Maths,Grade 6,"If a cone has radius 3 cm and height 12 cm, what is its volume? (Use π = 3.14)",28.26 cm³,113.04 cm³,339.12 cm³,452.16 cm³,B,207,"COMP2,COMP3"
Maths,Grade 6,What is 6/11 as a decimal rounded to 2 decimal places?,0.54,0.55,0.56,0.57,A,320,"COMP1,COMP4"
Maths,Grade 6,"If 8 machines can produce 400 items in 4 hours, how many items can 5 machines produce in 2 hours?",100,125,150,200,B,223,"COMP2,COMP4"
Maths,Grade 6,What is the value of 4⁴ ÷ 4²?,4,8,16,64,C,250,"COMP1,COMP2"
Maths,Grade 6,"If a rhombus has diagonals 8 cm and 12 cm, what is its area?",24 cm²,48 cm²,96 cm²,192 cm²,B,259,"COMP2,COMP3"
Maths,Grade 6,What is the reciprocal of 7/9?,9-Jul,7-Sep,7-Jan,9-Jan,B,263,"COMP1,COMP4"
Maths,Grade 6,"If a ship travels 300 km in 5 hours, what is its speed?",40 km/h,50 km/h,60 km/h,75 km/h,C,117,"COMP2,COMP4"
Maths,Grade 6,What is the value of 10! ÷ 8!?,45,90,180,720,B,272,"COMP1,COMP2"
Maths,Grade 6,"If a triangle has sides 7 cm, 24 cm, and 25 cm, what type of triangle is it?",Acute,Right,Obtuse,Equilateral,B,345,"COMP2,COMP3"
Maths,Grade 6,What is 0.7 as a fraction in simplest form?,10-Jul,4-Mar,3-Feb,2-Jan,A,292,"COMP1,COMP4"
Maths,Grade 6,"If a tablet costs $300 and is discounted by 20%, what is the final price?",$240 ,$260 ,$280 ,$300 ,A,226,"COMP2,COMP4"
Maths,Grade 6,What is the value of 8³ × 2²?,256,512,1024,2048,B,238,"COMP1,COMP2"
Maths,Grade 6,"If a number is decreased by 30% and becomes 70, what was the original number?",90,95,100,105,C,172,"COMP1,COMP4"
Maths,Grade 6,"What is the area of a triangle with sides 13 cm, 14 cm, and 15 cm?",84 cm²,91 cm²,98 cm²,105 cm²,A,181,"COMP2,COMP3"
